,id,0
0,1,24966.8048245614
1,2,8973.368421052632
2,3,19548.986842105263
3,4,11962.019736842105
4,5,9803.419736842106
5,6,9072.809210526315
6,7,7171.4671052631575
7,8,6829.296052631579
8,9,11170.236842105263
9,10,9884.263157894737
10,11,11204.394736842105
11,12,44702.01315789474
12,13,12960.980263157895
13,14,8808.355263157895
14,15,10497.578947368422
15,16,10988.28947368421
16,17,9987.203947368422
17,18,22009.276315789473
18,19,9878.559210526315
19,20,13099.842105263158
20,21,20589.986842105263
21,22,24265.92105263158
22,23,7592.315789473684
23,24,17162.032894736843
24,25,19120.75
25,26,8125.434210526316
26,27,18385.065789473683
27,28,8580.769736842105
28,29,4676.664473684211
29,30,37875.55263157895
30,31,10328.434210526315
31,32,14370.671052631578
32,33,26435.947368421053
33,34,22795.16447368421
34,35,9006.013157894737
35,36,5821.973684210527
36,37,11064.677631578947
37,38,8126.7171052631575
38,39,9871.631578947368
39,40,20693.42105263158
40,41,15947.059210526315
41,42,8919.157894736842
42,43,14935.875
43,44,14936.151315789473
44,45,5025.1578947368425
45,46,17167.04605263158
46,47,7423.625
47,48,6379.25
48,49,12911.875
49,50,11609.026315789473
50,51,10821.888157894737
51,52,15532.493421052632
52,53,23119.75657894737
53,54,19834.125
54,55,13072.473684210527
55,56,11083.434210526315
56,57,9458.684210526315
57,58,15425.342105263158
58,59,21234.5
59,60,10336.677631578947
60,61,24987.302631578947
61,62,18892.45394736842
62,63,16012.491228070177
63,64,8510.519736842105
64,65,10874.881578947368
65,66,14240.868421052632
66,67,10246.967105263158
67,68,77246.94078947368
68,69,17006.776315789473
69,70,13120.743421052632
70,71,7205.3421052631575
71,72,15453.657894736842
72,73,11080.921052631578
73,74,26763.53947368421
74,75,17919.013157894737
75,76,10142.0
76,77,5466.1973684210525
77,78,26627.91447368421
78,79,12683.921052631578
79,80,23422.45394736842
80,81,2183.2236842105262
81,82,9954.875
82,83,7595.164473684211
83,84,13481.763157894737
84,85,16998.848684210527
85,86,9766.309210526315
86,87,10181.171052631578
87,88,18869.934210526317
88,89,5050.611842105263
89,90,25070.58552631579
90,91,13858.506578947368
91,92,11318.388157894737
92,93,11163.098684210527
93,94,8120.388157894737
94,95,14623.947368421053
95,96,9507.361842105263
96,97,32169.53258145363
97,98,2778.7631578947367
98,99,23098.535401002504
99,100,25826.49890350877
100,101,42048.41447368421
101,102,13152.921052631578
102,103,15872.578947368422
103,104,9520.657894736842
104,105,9518.671052631578
105,106,11241.486842105263
106,107,5866.131578947368
107,108,16456.620200934653
